gender,birth,marriage,religion,income,code_job,code_region
2,1950,1,1,9999,NA,1
2,1980,5,1,9999,NA,1
1,1972,1,1,420.6,281,1
2,1976,1,1,9999,NA,1
2,2003,0,1,9999,NA,1
2,2005,0,1,9999,NA,1
2,2007,0,1,9999,NA,1
1,1959,1,1,313.3,741,1
2,1962,1,1,126,952,1
2,1986,5,1,233,243,1
2,1989,5,1,166.7,289,1
1,1967,1,2,9999,873,1
2,1968,1,2,9999,422,1
2,1995,5,2,0,NA,1
1,2000,0,2,9999,NA,1
1,1973,1,1,416,312,1
2,1976,1,1,140,313,1
1,2006,0,1,9999,NA,1
1,1973,1,2,358,312,1
2,1973,1,2,110,313,1
2,2000,0,2,9999,NA,1
1,2002,0,2,9999,NA,1
1,1964,1,2,400,261,1
2,1962,1,1,50,247,1
2,1991,5,1,9999,NA,1
1,1947,1,1,9999,NA,1
2,1958,1,1,9999,422,1
1,1976,1,1,9999,941,1
2,1981,1,1,120,254,1
1,2008,0,1,9999,NA,1
2,1951,2,1,9999,NA,1
2,1933,2,1,9999,NA,1
1,1976,1,2,325,245,2
2,1977,1,2,9999,NA,2
1,2004,0,2,9999,NA,2
1,2007,0,2,9999,NA,2
1,1933,1,1,9999,NA,1
2,1936,1,1,9999,NA,1
1,1958,1,1,162,873,1
2,1962,1,1,9999,NA,1
1,1988,5,1,209.9,245,1
1,1977,1,2,324,441,7
2,1977,1,2,162,246,7
2,2007,0,2,9999,NA,7
2,2009,0,2,9999,NA,7
1,2011,0,2,9999,NA,7
1,1935,2,2,9999,NA,1
1,1985,1,2,185,312,5
2,1982,1,2,320,864,5
1,1979,1,2,9999,222,2
2,1979,1,2,9999,NA,2
1,2007,0,2,9999,NA,2
2,2013,0,2,9999,NA,2
2,1946,2,2,9999,NA,2
1,1944,1,1,9999,873,1
2,1952,1,1,9999,NA,1
1,1944,1,1,9999,NA,2
2,1952,1,1,9999,NA,2
1,1963,1,2,426.7,312,1
2,1968,1,2,303.9,243,1
1,2000,0,2,9999,NA,1
1,1946,1,2,139,942,1
2,1948,1,1,9999,NA,1
1,1932,1,2,9999,NA,1
2,1936,1,2,9999,NA,1
1,1935,1,1,9999,NA,1
2,1942,1,1,9999,NA,1
1,1977,1,1,429.7,510,2
2,1979,1,1,9999,NA,2
1,2006,0,1,9999,NA,2
2,2008,0,1,9999,NA,2
2,1930,2,2,9999,NA,1
1,1960,5,2,9999,910,1
2,1930,2,1,9999,NA,1
1,1965,1,2,9999,762,1
2,1970,1,2,9999,NA,1
2,1995,5,2,9999,NA,1
2,2001,0,2,9999,NA,1
2,1940,2,2,9999,NA,1
2,1943,2,1,20,999,1
1,1938,1,1,9999,NA,1
2,1946,1,2,9999,NA,1
1,1954,1,2,9999,873,1
2,1958,1,2,9999,521,1
1,1984,5,2,9999,910,1
2,1937,2,1,9999,930,1
2,1962,2,1,9999,NA,1
2,1941,2,1,85.42,930,1
1,1968,5,1,85.42,952,1
1,1965,1,1,9999,999,1
2,1967,1,1,9999,999,1
2,1992,5,1,9999,NA,1
1,1995,5,1,9999,NA,1
2,1967,3,2,107,951,1
1,1995,5,2,92,952,1
1,1996,5,2,9999,NA,1
2,1953,2,1,76.8,951,1
1,1978,1,1,9999,761,1
2,1978,1,1,193.2,313,1
2,2008,0,1,9999,NA,1
2,2010,0,1,9999,NA,1
1,1974,1,2,468.3,221,1
2,1979,1,1,219.1,313,1
2,2007,0,1,9999,NA,1
2,1954,2,1,9999,NA,2
1,1944,1,1,9999,NA,1
2,1944,1,1,9999,NA,1
1,1952,1,2,9999,NA,1
2,1956,1,2,9999,NA,1
2,1984,1,2,9999,NA,5
1,1983,1,1,300,761,5
1,2010,0,2,9999,NA,5
2,2013,0,2,9999,NA,5
1,1938,1,1,9999,NA,1
2,1948,1,1,9999,NA,1
2,1942,2,1,9999,NA,1
2,1965,1,2,240,530,1
2,1994,5,2,9999,521,1
1,1959,1,2,9999,873,1
2,1941,1,1,9999,NA,1
1,1940,1,1,9999,NA,1
1,1953,1,2,150,942,1
2,1959,1,2,9999,952,1
1,1932,1,2,9999,NA,1
2,1936,1,2,9999,NA,1
1,1960,1,1,166,942,1
2,1963,1,1,100,951,1
2,1990,5,2,9999,NA,1
1,1963,1,1,9999,873,6
2,1990,1,1,9999,NA,6
2,2011,0,1,9999,NA,6
2,2013,0,1,9999,NA,6
1,1977,1,1,387.5,411,1
2,1978,1,1,436.7,243,1
2,1980,1,2,9999,NA,7
2,2006,0,1,9999,NA,1
2,1950,2,1,9999,NA,1
2,1983,5,1,183.3,313,1
1,2008,0,1,9999,NA,1
1,1980,1,2,375,510,7
1,2010,0,2,9999,NA,7
1,2013,0,2,9999,NA,7
1,1948,1,1,220,772,1
2,1950,1,1,30,941,1
2,1976,1,1,9999,NA,1
1,1977,5,1,9999,NA,1
1,1973,1,1,330,231,1
1,2008,0,1,9999,NA,1
1,1968,1,2,9999,721,1
2,1966,1,2,310,721,1
1,1998,0,2,9999,NA,1
2,2000,0,2,9999,NA,1
1,1938,1,2,9999,NA,1
2,1946,1,2,150,951,1
1,1970,5,2,9999,799,1
1,1973,5,2,9999,NA,1
1,1959,1,2,150,910,1
2,1964,1,2,100,951,1
2,1986,5,2,140,313,1
2,1988,5,2,9999,NA,1
1,1961,1,1,267,510,1
2,1962,1,1,9999,NA,1
2,1997,0,1,9999,NA,1
1,1998,0,1,9999,NA,1
1,1939,1,1,9999,942,1
2,1940,1,1,9999,NA,1
1,1945,1,2,9999,NA,1
2,1949,1,2,9999,NA,1
1,1972,1,2,185,873,1
2,1972,1,2,9999,NA,1
1,2000,0,2,9999,NA,1
2,1979,1,2,363.3,285,1
1,1978,1,2,411.7,510,1
2,2010,0,2,9999,NA,1
1,1973,1,2,266,254,1
2,1969,1,2,408,259,1
2,2007,0,1,9999,NA,1
